caption_id,videoId,language,name,trackKind,isDraft,lastUpdated
cap_001,vid_001,en,English (auto-generated),ASR,false,2025-03-15T14:30:00Z
cap_002,vid_002,en,English (auto-generated),ASR,false,2025-03-13T14:30:00Z
cap_003,vid_002,es,Spanish,standard,false,2025-03-20T10:00:00Z
cap_004,vid_003,en,English (auto-generated),ASR,false,2025-03-11T14:30:00Z
cap_005,vid_004,en,English (auto-generated),ASR,false,2025-03-08T14:30:00Z
cap_006,vid_004,pt,Portuguese,standard,false,2025-03-15T12:00:00Z
cap_007,vid_006,en,English (auto-generated),ASR,false,2025-03-04T14:30:00Z
cap_008,vid_008,en,English (auto-generated),ASR,false,2025-03-01T14:30:00Z
cap_009,vid_008,hi,Hindi,standard,false,2025-03-10T09:00:00Z
cap_010,vid_009,en,English (auto-generated),ASR,false,2025-02-27T14:30:00Z
cap_011,vid_012,en,English (auto-generated),ASR,false,2025-02-22T18:30:00Z
cap_012,vid_013,en,English (auto-generated),ASR,false,2025-02-20T14:30:00Z
cap_013,vid_014,en,English (auto-generated),ASR,false,2025-02-18T14:30:00Z
cap_014,vid_016,en,English (auto-generated),ASR,false,2025-02-13T14:30:00Z
cap_015,vid_019,en,English (auto-generated),ASR,false,2025-02-08T14:30:00Z
cap_016,vid_021,en,English (auto-generated),ASR,false,2025-02-04T14:30:00Z
cap_017,vid_026,en,English (auto-generated),ASR,false,2025-01-25T14:30:00Z
cap_018,vid_029,en,English (auto-generated),ASR,false,2025-01-18T14:30:00Z
cap_019,vid_029,ja,Japanese,standard,false,2025-02-01T08:00:00Z
cap_020,vid_001,fr,French,standard,false,2025-03-25T11:00:00Z
