transaction_id,receipt_id,listing_id,shop_id,buyer_user_id,title,quantity,price,shipping_cost,is_digital,variations,created_timestamp
3001,2001,1001,29457183,55001,Handmade Ceramic Mug - Speckled White Glaze,1,32.00,5.99,false,"",2025-01-08T14:22:00
3002,2002,1002,29457183,55002,Large Ramen Bowl - Midnight Blue,1,48.00,5.99,false,"",2025-01-22T10:05:00
3003,2003,1001,29457183,55003,Handmade Ceramic Mug - Speckled White Glaze,2,32.00,5.99,false,"",2025-02-02T18:30:00
3004,2004,1008,29457183,55004,Large Serving Bowl - Ocean Wave Glaze,1,78.00,11.99,false,"",2025-02-14T09:45:00
3005,2005,1009,29457183,55005,Personalized Ceramic Mug - Custom Name,1,38.00,5.99,false,"personalization:Sofia",2025-02-20T12:15:00
3006,2006,1005,29457183,55006,Set of 4 Ceramic Dinner Plates - Rustic Terracotta,1,120.00,7.99,false,"",2025-03-05T16:40:00
3007,2007,1015,29457183,55007,Small Pinch Bowl Set of 6 - Assorted Glazes,1,42.00,5.99,false,"",2025-03-28T20:10:00
3008,2008,1013,29457183,55008,Wedding Registry - Custom Dinnerware Set,1,480.00,45.99,false,"glaze_color:Speckled White",2025-04-02T11:30:00
3009,2009,1006,29457183,55009,Ceramic Herb Planter with Drainage - Set of 3,1,54.00,5.99,false,"",2025-04-05T14:55:00
3010,2010,1001,29457183,55010,Handmade Ceramic Mug - Speckled White Glaze,1,32.00,0.00,false,"",2025-04-10T08:20:00
3011,2011,1008,29457183,55001,Large Serving Bowl - Ocean Wave Glaze,1,78.00,5.99,false,"",2025-04-15T19:30:00
3012,2012,1014,29457183,55011,Ceramic Tumbler - No Handle - Wabi Sabi,1,24.00,5.99,false,"",2025-03-15T10:45:00
3013,2013,1015,29457183,55012,Small Pinch Bowl Set of 6 - Assorted Glazes,1,42.00,5.99,false,"",2025-03-20T08:00:00
3014,2014,1007,29457183,55013,Espresso Cup and Saucer Set - Charcoal,1,26.00,0.00,false,"",2025-04-25T17:00:00
3015,2015,1011,29457183,55014,Tall Ceramic Vase - Textured White,1,65.00,0.00,false,"",2025-03-01T12:00:00
