id,doorbot_id,device_id,kind,created_at,answered,favorite,recording_status,snapshot_url,duration_seconds,cv_properties
7001,987001,doorbell_front,motion,2025-04-28T13:45:00.000Z,false,false,ready,,12,person
7002,987003,cam_driveway,motion,2025-04-28T12:30:00.000Z,false,false,ready,,8,vehicle
7003,987001,doorbell_front,ding,2025-04-28T11:15:00.000Z,true,false,ready,,22,person
7004,987001,doorbell_front,package_detected,2025-04-28T10:48:00.000Z,false,false,ready,,15,package
7005,987003,cam_driveway,motion,2025-04-28T10:20:00.000Z,false,false,ready,,6,vehicle
7006,987002,cam_backyard,motion,2025-04-28T09:30:00.000Z,false,false,ready,,10,animal
7007,987001,doorbell_front,motion,2025-04-28T07:42:00.000Z,false,false,ready,,9,person
7008,987003,cam_driveway,motion,2025-04-28T07:35:00.000Z,false,false,ready,,14,person
7009,987001,doorbell_front,ding,2025-04-28T07:30:00.000Z,true,false,ready,,5,person
7010,987005,cam_side_gate,motion,2025-04-28T02:14:00.000Z,false,true,ready,,18,person
7011,987003,cam_driveway,motion,2025-04-27T22:10:00.000Z,false,false,ready,,7,animal
7012,987001,doorbell_front,motion,2025-04-27T18:22:00.000Z,false,false,ready,,11,person
7013,987003,cam_driveway,motion,2025-04-27T17:55:00.000Z,false,false,ready,,13,vehicle
7014,987001,doorbell_front,ding,2025-04-27T17:48:00.000Z,true,false,ready,,8,person
7015,987002,cam_backyard,motion,2025-04-27T16:30:00.000Z,false,false,ready,,20,person
7016,987002,cam_backyard,motion,2025-04-27T16:05:00.000Z,false,false,ready,,15,person
7017,987001,doorbell_front,motion,2025-04-27T15:35:00.000Z,false,false,ready,,7,person
7018,987001,doorbell_front,ding,2025-04-27T15:32:00.000Z,true,false,ready,,4,person
7019,987003,cam_driveway,motion,2025-04-27T14:10:00.000Z,false,false,ready,,9,vehicle
7020,987001,doorbell_front,package_detected,2025-04-27T11:22:00.000Z,false,false,ready,,12,package
7021,987003,cam_driveway,motion,2025-04-27T11:18:00.000Z,false,false,ready,,8,vehicle
7022,987001,doorbell_front,motion,2025-04-27T11:15:00.000Z,false,false,ready,,6,person
7023,987001,doorbell_front,motion,2025-04-27T07:38:00.000Z,false,false,ready,,10,person
7024,987003,cam_driveway,motion,2025-04-27T07:32:00.000Z,false,false,ready,,12,vehicle
7025,987005,cam_side_gate,motion,2025-04-27T03:45:00.000Z,false,false,ready,,5,animal
7026,987003,cam_driveway,motion,2025-04-26T19:15:00.000Z,false,false,ready,,9,person
7027,987001,doorbell_front,ding,2025-04-26T18:40:00.000Z,true,false,ready,,6,person
7028,987001,doorbell_front,motion,2025-04-26T18:38:00.000Z,false,false,ready,,8,person
7029,987002,cam_backyard,motion,2025-04-26T17:20:00.000Z,false,false,ready,,25,person
7030,987002,cam_backyard,motion,2025-04-26T17:00:00.000Z,false,false,ready,,18,person
7031,987003,cam_driveway,motion,2025-04-26T15:45:00.000Z,false,false,ready,,7,person
7032,987001,doorbell_front,ding,2025-04-26T15:40:00.000Z,true,false,ready,,10,person
7033,987001,doorbell_front,person_detected,2025-04-26T13:10:00.000Z,false,false,ready,,14,person
7034,987003,cam_driveway,motion,2025-04-26T11:05:00.000Z,false,false,ready,,6,vehicle
7035,987001,doorbell_front,package_detected,2025-04-26T10:55:00.000Z,false,false,ready,,11,package
7036,987001,doorbell_front,motion,2025-04-26T07:40:00.000Z,false,false,ready,,8,person
7037,987003,cam_driveway,motion,2025-04-26T07:35:00.000Z,false,false,ready,,10,vehicle
7038,987005,cam_side_gate,motion,2025-04-26T04:12:00.000Z,false,false,ready,,4,animal
7039,987001,doorbell_front,motion,2025-04-25T18:55:00.000Z,false,false,ready,,7,person
7040,987003,cam_driveway,motion,2025-04-25T18:50:00.000Z,false,false,ready,,12,vehicle
7041,987001,doorbell_front,ding,2025-04-25T17:15:00.000Z,false,false,ready,,9,person
7042,987002,cam_backyard,motion,2025-04-25T16:40:00.000Z,false,false,ready,,16,person
7043,987001,doorbell_front,motion,2025-04-25T15:50:00.000Z,false,false,ready,,6,person
7044,987001,doorbell_front,ding,2025-04-25T15:48:00.000Z,true,false,ready,,3,person
7045,987003,cam_driveway,motion,2025-04-25T12:30:00.000Z,false,false,ready,,8,vehicle
7046,987001,doorbell_front,package_detected,2025-04-25T11:10:00.000Z,false,false,ready,,13,package
7047,987001,doorbell_front,motion,2025-04-25T11:05:00.000Z,false,false,ready,,5,person
7048,987003,cam_driveway,motion,2025-04-25T07:28:00.000Z,false,false,ready,,11,vehicle
7049,987001,doorbell_front,motion,2025-04-25T07:22:00.000Z,false,false,ready,,8,person
7050,987003,cam_driveway,motion,2025-04-25T01:30:00.000Z,false,false,ready,,4,animal
7051,987001,doorbell_front,motion,2025-04-24T18:10:00.000Z,false,false,ready,,9,person
7052,987003,cam_driveway,motion,2025-04-24T18:05:00.000Z,false,false,ready,,13,vehicle
7053,987001,doorbell_front,ding,2025-04-24T17:00:00.000Z,true,false,ready,,7,person
